"Decimal","Hexadecimal","Company"
"2088","0x0828","Shanghai Suisheng Information Technology Co., Ltd."
"2087","0x0827","Kickmaker"
"2086","0x0826","Hyundai Motor Company"
"2085","0x0825","CME PTE. LTD."
"2084","0x0824","8Power Limited"
"2083","0x0823","Nexite Ltd"
"2082","0x0822","adafruit industries"
"2081","0x0821","INOVA Geophysical, Inc."
"2080","0x0820","Brilliant Home Technology, Inc."
"2079","0x081F","eSenseLab LTD"
"2078","0x081E","iNFORM Technology GmbH"
"2077","0x081D","Potrykus Holdings and Development LLC"
"2076","0x081C","Bobrick Washroom Equipment, Inc."
"2075","0x081B","DIM3"
"2074","0x081A","Shenzhen Conex"
"2073","0x0819","Hunter Douglas Inc"
"2072","0x0818","tatwah SA"
"2071","0x0817","Wangs Alliance Corporation"
"2070","0x0816","SPICA SYSTEMS LLC"
"2069","0x0815","SKC Inc"
"2068","0x0814","Ossur hf."
"2067","0x0813","Flextronics International USA Inc."
"2066","0x0812","Mstream Technologies., Inc."
"2065","0x0811","Becker Antriebe GmbH"
"2064","0x0810","LECO Corporation"
"2063","0x080F","Paradox Engineering SA"
"2062","0x080E","TATTCOM LLC"
"2061","0x080D","Azbil Co."
"2060","0x080C","Ingy B.V."
"2059","0x080B","Nanoleaf Canada Limited"
"2058","0x080A","Altaneos"
"2057","0x0809","Trulli Audio"
"2056","0x0808","SISTEMAS KERN, SOCIEDAD ANÓMINA"
"2055","0x0807","ECD Electronic Components GmbH Dresden"
"2054","0x0806","TYRI Sweden AB"
"2053","0x0805","Urbanminded Ltd"
"2052","0x0804","Andon Health Co.,Ltd"
"2051","0x0803","Domintell s.a."
"2050","0x0802","NantSound, Inc."
"2049","0x0801","CRONUS ELECTRONICS LTD"
"2048","0x0800","Optek"
"2047","0x07FF","maxon motor ltd."
"2046","0x07FE","BIROTA"
"2045","0x07FD","JSK CO., LTD."
"2044","0x07FC","Renault SA"
"2043","0x07FB","Access Co., Ltd"
"2042","0x07FA","Klipsch Group, Inc."
"2041","0x07F9","Direct Communication Solutions, Inc."
"2040","0x07F8","quip NYC Inc."
"2039","0x07F7","Cesar Systems Ltd."
"2038","0x07F6","Shenzhen TonliScience and Technology Development Co.,Ltd"
"2037","0x07F5","Byton North America Corporation"
"2036","0x07F4","MEDIRLAB Orvosbiologiai Fejleszto Korlatolt Felelossegu Tarsasag"
"2035","0x07F3","DIGISINE ENERGYTECH CO. LTD."
"2034","0x07F2","SERENE GROUP, INC"
"2033","0x07F1","GSM Innovations Pty Ltd"
"2032","0x07F0","e-moola.com Pty Ltd"
"2031","0x07EF","Aktiebolaget Sandvik Coromant"
"2030","0x07EE","KidzTek LLC"
"2029","0x07ED","Joule IQ, INC."
"2028","0x07EC","Frecce LLC"
"2027","0x07EB","NOVABASE S.R.L."
"2026","0x07EA","ShapeLog, Inc."
"2025","0x07E9","Häfele GmbH & Co KG"
"2024","0x07E8","Packetcraft, Inc."
"2023","0x07E7","Komfort IQ, Inc."
"2022","0x07E6","Autogrow Systems Limited"
"2021","0x07E5","Minut, Inc."
"2020","0x07E4","Geeksme S.L."
"2019","0x07E3","Audiowise Technology Inc."
"2018","0x07E2","Alfred Kaercher SE & Co. KG"
"2017","0x07E1","Lucie Labs"
"2016","0x07E0","Edifier International Limited"
"2015","0x07DF","Snap-on Incorporated"
"2014","0x07DE","Unlimited Engineering SL"
"2013","0x07DD","Linear Circuits"
"2012","0x07DC","ThingOS GmbH"
"2011","0x07DB","Remedee Labs"
"2010","0x07DA","STARLITE Co., Ltd."
"2009","0x07D9","Micro-Design, Inc."
"2008","0x07D8","SOLUTIONS AMBRA INC."
"2007","0x07D7","Nanjing Qinheng Microelectronics Co., Ltd"
"2006","0x07D6","ecobee Inc."
"2005","0x07D5","hoots classic GmbH"
"2004","0x07D4","Kano Computing Limited"
"2003","0x07D3","LIVNEX Co.,Ltd."
"2002","0x07D2","React Accessibility Limited"
"2001","0x07D1","Shanghai Panchip Microelectronics Co., Ltd"
"2000","0x07D0","Hangzhou Tuya Information  Technology Co., Ltd"
"1999","0x07CF","NeoSensory, Inc."
"1998","0x07CE","Shanghai Top-Chip Microelectronics Tech. Co., LTD"
"1997","0x07CD","Smart Wave Technologies Canada Inc"
"1996","0x07CC","Barnacle Systems Inc."
"1995","0x07CB","West Pharmaceutical Services, Inc."
"1994","0x07CA","Modul-System HH AB"
"1993","0x07C9","Skullcandy, Inc."
"1992","0x07C8","WRLDS Creations AB"
"1991","0x07C7","iaconicDesign Inc."
"1990","0x07C6","Bluenetics GmbH"
"1989","0x07C5","June Life, Inc."
"1988","0x07C4","Johnson Health Tech NA"
"1987","0x07C3","CIMTechniques, Inc."
"1986","0x07C2","Radinn AB"
"1985","0x07C1","A.W. Chesterton Company"
"1984","0x07C0","Biral AG"
"1983","0x07BF","REGULA Ltd."
"1982","0x07BE","Axentia Technologies AB"
"1981","0x07BD","Genedrive Diagnostics Ltd"
"1980","0x07BC","KD CIRCUITS LLC"
"1979","0x07BB","EPIC S.R.L."
"1978","0x07BA","Battery-Biz Inc."
"1977","0x07B9","Epona Biotec Limited"
"1976","0x07B8","iSwip"
"1975","0x07B7","ETABLISSEMENTS GEORGES RENAULT"
"1974","0x07B6","Soundbrenner Limited"
"1973","0x07B5","CRONO CHIP, S.L."
"1972","0x07B4","Hormann KG Antriebstechnik"
"1971","0x07B3","2N TELEKOMUNIKACE a.s."
"1970","0x07B2","Moeco IOT Inc."
"1969","0x07B1","Thomas Dynamics, LLC"
"1968","0x07B0","GV Concepts Inc."
"1967","0x07AF","Hong Kong Bouffalo Lab Limited"
"1966","0x07AE","Aurea Solucoes Tecnologicas Ltda."
"1965","0x07AD","New H3C Technologies Co.,Ltd"
"1964","0x07AC","LoupeDeck Oy"
"1963","0x07AB","Granite River Solutions, Inc."
"1962","0x07AA","The Kroger Co."
"1961","0x07A9","Bruel & Kjaer Sound & Vibration"
"1960","0x07A8","conbee GmbH"
"1959","0x07A7","Zume, Inc."
"1958","0x07A6","Musen Connect, Inc."
"1957","0x07A5","RAB Lighting, Inc."
"1956","0x07A4","Xiamen Mage Information Technology Co., Ltd."
"1955","0x07A3","Comcast Cable"
"1954","0x07A2","Roku, Inc."
"1953","0x07A1","Apollo Neuroscience, Inc."
"1952","0x07A0","Regent Beleuchtungskorper AG"
"1951","0x079F","Pune Scientific LLP"
"1950","0x079E","Smartloxx GmbH"
"1949","0x079D","Digibale Pty Ltd"
"1948","0x079C","Sky UK Limited"
"1947","0x079B","CST ELECTRONICS (PROPRIETARY) LIMITED"
"1946","0x079A","GuangDong Oppo Mobile Telecommunications Corp., Ltd."
"1945","0x0799","PlantChoir Inc."
"1944","0x0798","HoloKit, Inc."
"1943","0x0797","Water-i.d. GmbH"
"1942","0x0796","StarLeaf Ltd"
"1941","0x0795","GASTEC CORPORATION"
"1940","0x0794","The Coca-Cola Company"
"1939","0x0793","AEV spol. s r.o."
"1938","0x0792","Provo Craft"
"1937","0x0791","Scosche Industries, Inc."
"1936","0x0790","KOMPAN A/S"
"1935","0x078F","Hanna Instruments, Inc."
"1934","0x078E","FUJIMIC NIIGATA, INC."
"1933","0x078D","Cybex GmbH"
"1932","0x078C","MINIBREW HOLDING B.V"
"1931","0x078B","Optikam Tech Inc."
"1930","0x078A","The Wildflower Foundation"
"1928","0x0788","BubblyNet, LLC"
"1927","0x0787","Pangaea Solution"
"1926","0x0786","HLP Controls Pty Limited"
"1925","0x0785","O2 Micro, Inc."
"1924","0x0784","audifon GmbH & Co. KG"
"1923","0x0783","ESEMBER LIMITED LIABILITY COMPANY"
"1922","0x0782","DeviceDrive AS"
"1921","0x0781","Qingping Technology (Beijing) Co., Ltd."
"1920","0x0780","Finch Technologies Ltd."
"1919","0x077F","Glenview Software Corporation"
"1918","0x077E","Sparkage Inc."
"1917","0x077D","Sensority, s.r.o."
"1916","0x077C","radius co., ltd."
"1915","0x077B","AmaterZ, Inc."
"1914","0x077A","Niruha Systems Private Limited"
"1913","0x0779","Loopshore Oy"
"1912","0x0778","KOAMTAC INC."
"1911","0x0777","Cue"
"1910","0x0776","Cyber Transport Control GmbH"
"1909","0x0775","4eBusiness GmbH"
"1908","0x0774","C-MAX Asia Limited"
"1907","0x0773","Echoflex Solutions Inc."
"1906","0x0772","Thirdwayv Inc."
"1905","0x0771","Corvex Connected Safety"
"1904","0x0770","InnoCon Medical ApS"
"1903","0x076F","Successful Endeavours Pty Ltd"
"1902","0x076E","WuQi technologies, Inc."
"1901","0x076D","Graesslin GmbH"
"1900","0x076C","Noodle Technology inc"
"1899","0x076B","Engineered Medical Technologies"
"1898","0x076A","Dmac Mobile Developments, LLC"
"1897","0x0769","Force Impact Technologies"
"1896","0x0768","Peloton Interactive Inc."
"1895","0x0767","NITTO DENKO ASIA TECHNICAL CENTRE PTE. LTD."
"1894","0x0766","ART AND PROGRAM, INC."
"1893","0x0765","Voxx International"
"1892","0x0764","WWZN Information Technology Company Limited"
"1891","0x0763","PIKOLIN S.L."
"1890","0x0762","TerOpta Ltd"
"1889","0x0761","Mantis Tech LLC"
"1888","0x0760","Vimar SpA"
"1887","0x075F","Remote Solution Co., LTD."
"1886","0x075E","Katerra Inc."
"1885","0x075D","RHOMBUS SYSTEMS, INC."
"1884","0x075C","Antitronics Inc."
"1883","0x075B","Smart Sensor Devices AB"
"1882","0x075A","HARMAN CO.,LTD."
"1881","0x0759","Shanghai InGeek Cyber Security Co., Ltd."
"1880","0x0758","umanSense AB"
"1879","0x0757","ELA Innovation"
"1878","0x0756","Lumens For Less, Inc"
"1877","0x0755","Brother Industries, Ltd"
"1876","0x0754","Michael Parkin"
"1875","0x0753","JLG Industries, Inc."
"1874","0x0752","Elatec GmbH"
"1873","0x0751","Changsha JEMO IC Design Co.,Ltd"
"1872","0x0750","Hamilton Professional Services of Canada Incorporated"
"1871","0x074F","MEDIATECH S.R.L."
"1870","0x074E","EAGLE DETECTION SA"
"1869","0x074D","Amtech Systems, LLC"
"1868","0x074C","iopool s.a."
"1867","0x074B","Sarvavid Software Solutions LLP"
"1866","0x074A","Illusory Studios LLC"
"1865","0x0749","DIAODIAO (Beijing) Technology Co., Ltd."
"1864","0x0748","GuangZhou KuGou Computer Technology Co.Ltd"
"1863","0x0747","OR Technologies Pty Ltd"
"1862","0x0746","Seitec Elektronik GmbH"
"1861","0x0745","WIZNOVA, Inc."
"1860","0x0744","SOCOMEC"
"1859","0x0743","Sanofi"
"1858","0x0742","DML LLC"
"1857","0x0741","MAC SRL"
"1856","0x0740","HITIQ LIMITED"
"1855","0x073F","Beijing Unisoc Technologies Co., Ltd."
"1854","0x073E","Bluepack S.R.L."
"1853","0x073D","Beijing Hao Heng Tian Tech Co., Ltd."
"1852","0x073C","Acubit ApS"
"1851","0x073B","Fantini Cosmi s.p.a."
"1850","0x073A","Chandler Systems Inc."
"1849","0x0739","Jiangsu Qinheng Co., Ltd."
"1848","0x0738","Glass Security Pte Ltd"
"1847","0x0737","LLC Navitek"
"1846","0x0736","FrancisFund, LLC"
"1845","0x0735","UpRight Technologies LTD"
"1844","0x0734","DiUS Computing Pty Ltd"
"1843","0x0733","Iguanavation, Inc."
"1842","0x0732","Dairy Tech, Inc."
"1841","0x0731","ABLIC Inc."
"1840","0x0730","Wildlife Acoustics, Inc."
"1839","0x072F","OnePlus Electronics (Shenzhen) Co., Ltd."
"1838","0x072E","Open Platform Systems LLC"
"1837","0x072D","Safera Oy"
"1836","0x072C","GWA Hygiene GmbH"
"1835","0x072B","Bitkey Inc."
"1834","0x072A","JMR embedded systems GmbH"
"1833","0x0729","SwaraLink Technologies"
"1832","0x0728","Eli Lilly and Company"
"1831","0x0727","STALKIT AS"
"1830","0x0726","PHC Corporation"
"1829","0x0725","Tedee Sp. z o.o."
"1828","0x0724","Guangzhou SuperSound Information Technology Co.,Ltd"
"1827","0x0723","Ford Motor Company"
"1826","0x0722","Xiamen Eholder Electronics Co.Ltd"
"1825","0x0721","Clover Network, Inc."
"1824","0x0720","Oculeve, Inc."
"1823","0x071F","Dongguan Liesheng Electronic Co.Ltd"
"1822","0x071E","DONGGUAN HELE ELECTRONICS CO., LTD"
"1821","0x071D","exoTIC Systems"
"1820","0x071C","F5 Sports, Inc"
"1819","0x071B","Precor"
"1818","0x071A","REVSMART WEARABLE HK CO LTD"
"1817","0x0719","ECSG"
"1816","0x0718","IDIBAIX enginneering"
"1815","0x0717","iQsquare BV"
"1814","0x0716","Altonics"
"1813","0x0715","Vgyan Solutions"
"1812","0x0714","MindPeace Safety LLC"
"1811","0x0713","Respiri Limited"
"1810","0x0712","Bull Group Company Limited"
"1809","0x0711","ABAX AS"
"1808","0x0710","Audiodo AB"
"1807","0x070F","California Things Inc."
"1806","0x070E","FiveCo Sarl"
"1805","0x070D","SmartSnugg Pty Ltd"
"1804","0x070C","Beijing Winner Microelectronics Co.,Ltd"
"1803","0x070B","Element Products, Inc."
"1802","0x070A","Huf Hülsbeck & Fürst GmbH & Co. KG"
"1801","0x0709","Carewear Corp."
"1800","0x0708","Be Interactive Co., Ltd"
"1799","0x0707","Essity Hygiene and Health Aktiebolag"
"1798","0x0706","Wernher von Braun Center for ASdvanced Research"
"1797","0x0705","AB Electrolux"
"1796","0x0704","JBX Designs Inc."
"1795","0x0703","Beijing Jingdong Century Trading Co., Ltd."
"1794","0x0702","Akciju sabiedriba ""SAF TEHNIKA"""
"1793","0x0701","PAFERS TECH"
"1792","0x0700","TraqFreq LLC"
"1791","0x06FF","Redpine Signals Inc"
"1790","0x06FE","Mahr GmbH"
"1789","0x06FD","ESS Embedded System Solutions Inc."
"1788","0x06FC","Tom Communication Industrial Co.,Ltd."
"1787","0x06FB","Sartorius AG"
"1786","0x06FA","Enequi AB"
"1785","0x06F9","happybrush GmbH"
"1784","0x06F8","BodyPlus Technology Co.,Ltd"
"1783","0x06F7","WILKA Schliesstechnik GmbH"
"1782","0x06F6","Vitulo Plus BV"
"1781","0x06F5","Vigil Technologies Inc."
"1780","0x06F4","Near Field Solutions Ltd"
"1779","0x06F3","Alfred International Inc."
"1778","0x06F2","Trapper Data AB"
"1777","0x06F1","Shibutani Co., Ltd."
"1776","0x06F0","Chargy Technologies, SL"
"1775","0x06EF","ALCARE Co., Ltd."
"1774","0x06EE","Avantis Systems Limited"
"1773","0x06ED","J Neades Ltd"
"1772","0x06EC","Sigur"
"1771","0x06EB","Houston Radar LLC"
"1770","0x06EA","SafeLine Sweden AB"
"1769","0x06E9","Zmartfun Electronics, Inc."
"1768","0x06E8","Almendo Technologies GmbH"
"1767","0x06E7","VELUX A/S"
"1766","0x06E6","NIHON DENGYO KOUSAKU"
"1765","0x06E5","OPTEX CO.,LTD."
"1764","0x06E4","Aluna"
"1763","0x06E3","Spinlock Ltd"
"1762","0x06E2","Alango Technologies Ltd"
"1761","0x06E1","Milestone AV Technologies LLC"
"1760","0x06E0","Avaya "
"1759","0x06DF","Hubbell Lighting, Inc."
"1758","0x06DE","Navcast, Inc."
"1757","0x06DD","Intellithings Ltd."
"1756","0x06DC","Industrial Network Controls, LLC"
"1755","0x06DB","Automatic Labs, Inc."
"1754","0x06DA","Zliide Technologies ApS"
"1753","0x06D9","Shanghai Mountain View Silicon Co.,Ltd."
"1752","0x06D8","AW Company"
"1751","0x06D7","FUBA Automotive Electronics GmbH"
"1750","0x06D6","JCT Healthcare Pty Ltd"
"1749","0x06D5","Sensirion AG"
"1748","0x06D4","DYNAKODE TECHNOLOGY PRIVATE LIMITED"
"1747","0x06D3","TriTeq Lock and Security, LLC"
"1746","0x06D2","CeoTronics AG"
"1745","0x06D1","Meyer Sound Laboratories, Incorporated"
"1744","0x06D0","Etekcity Corporation"
"1743","0x06CF","Belparts N.V."
"1742","0x06CE","FIOR & GENTZ"
"1741","0x06CD","DIG Corporation"
"1740","0x06CC","Dongguan SmartAction Technology Co.,Ltd."
"1739","0x06CB","Dyeware, LLC"
"1738","0x06CA","Shenzhen Zhongguang Infotech Technology Development Co., Ltd"
"1737","0x06C9","MYLAPS B.V."
"1736","0x06C8","Storz & Bickel GmbH & Co. KG"
"1735","0x06C7","Somatix Inc"
"1734","0x06C6","Simm Tronic Limited"
"1733","0x06C5","Urban Compass, Inc"
"1732","0x06C4","Dream Labs GmbH"
"1731","0x06C3","King I Electronics.Co.,Ltd"
"1730","0x06C2","Measurlogic Inc."
"1729","0x06C1","Alarm.com Holdings, Inc"
"1728","0x06C0","CAME S.p.A."
"1727","0x06BF","Delcom Products Inc."
"1726","0x06BE","HitSeed Oy"
"1725","0x06BD","ABB Oy"
"1724","0x06BC","TWS Srl"
"1723","0x06BB","Leaftronix Analogic Solutions Private Limited"
"1722","0x06BA","Beaconzone Ltd"
"1721","0x06B9","Beflex Inc."
"1720","0x06B8","ShadeCraft, Inc"
"1719","0x06B7","iCOGNIZE GmbH"
"1718","0x06B6","Sociometric Solutions, Inc."
"1717","0x06B5","Wabilogic Ltd."
"1716","0x06B4","Sencilion Oy"
"1715","0x06B3","The Hablab ApS"
"1714","0x06B2","Tussock Innovation 2013 Limited"
"1713","0x06B1","SimpliSafe, Inc."
"1712","0x06B0","BRK Brands, Inc."
"1711","0x06AF","Shoof Technologies"
"1710","0x06AE","SenseQ Inc."
"1709","0x06AD","InnovaSea Systems Inc."
"1708","0x06AC","Ingchips Technology Co., Ltd."
"1707","0x06AB","HMS Industrial Networks AB"
"1706","0x06AA","Produal Oy"
"1705","0x06A9","Soundmax Electronics Limited"
"1704","0x06A8","GD Midea Air-Conditioning Equipment Co., Ltd."
"1703","0x06A7","Chipsea Technologies (ShenZhen) Corp."
"1702","0x06A6","Roambee Corporation"
"1701","0x06A5","TEKZITEL PTY LTD"
"1700","0x06A4","Sanyo Techno Solutions Tottori Co., Ltd."
"1699","0x06A3","Nymbus, LLC"
"1698","0x06A2","Globalworx GmbH"
"1697","0x06A1","Cardo Systems, Ltd"
"1696","0x06A0","OBIQ Location Technology Inc."
"1695","0x069F","FlowMotion Technologies AS"
"1694","0x069E","Delta Electronics, Inc."
"1693","0x069D","Vakaros LLC"
"1692","0x069C","Noomi AB"
"1691","0x069B","Dragonchip Limited"
"1690","0x069A","Adero, Inc. (formerly as TrackR, Inc.)"
"1689","0x0699","RandomLab SAS"
"1688","0x0698","Wood IT Security, LLC"
"1687","0x0697","Stemco Products Inc"
"1686","0x0696","Gunakar Private Limited"
"1685","0x0695","Koki Holdings Co., Ltd."
"1684","0x0694","T&A Laboratories LLC"
"1683","0x0693","Hach - Danaher"
"1682","0x0692","Georg Fischer AG"
"1681","0x0691","Curie Point AB"
"1680","0x0690","Eccrine Systems, Inc."
"1679","0x068F","JRM Group Limited"
"1678","0x068E","Razer Inc."
"1677","0x068D","JetBeep Inc."
"1676","0x068C","Changzhou Sound Dragon Electronics and Acoustics Co., Ltd"
"1675","0x068B","Jiangsu Teranovo Tech Co., Ltd."
"1674","0x068A","Raytac Corporation"
"1673","0x0689","Tacx b.v."
"1672","0x0688","Amsted Digital Solutions Inc."
"1671","0x0687","Cherry GmbH"
"1670","0x0686","inQs Co., Ltd."
"1669","0x0685","Greenwald Industries"
"1668","0x0684","Dermalapps, LLC"
"1667","0x0683","Eltako GmbH"
"1666","0x0682","Photron Limited"
"1665","0x0681","Trade FIDES a.s."
"1664","0x0680","Mannkind Corporation"
"1663","0x067F","NETGRID S.N.C. DI BISSOLI MATTEO, CAMPOREALE SIMONE, TOGNETTI FEDERICO"
"1662","0x067E","MbientLab Inc"
"1661","0x067D","Form Athletica Inc."
"1660","0x067C","Tile, Inc."
"1659","0x067B","I.FARM, INC."
"1658","0x067A","The Energy Conservatory, Inc."
"1657","0x0679","4iiii Innovations Inc."
"1656","0x0678","SABIK Offshore GmbH"
"1655","0x0677","Innovation First, Inc."
"1654","0x0676","Expai Solutions Private Limited"
"1653","0x0675","Deco Enterprises, Inc."
"1652","0x0674","BeSpoon"
"1651","0x0673","Innova Ideas Limited"
"1650","0x0672","Kopi"
"1649","0x0671","Buzz Products Ltd."
"1648","0x0670","Gema Switzerland GmbH"
"1647","0x066F","Hug Technology Ltd"
"1646","0x066E","Eurotronik Kranj d.o.o."
"1645","0x066D","Venso EcoSolutions AB"
"1644","0x066C","Ztove ApS"
"1643","0x066B","DewertOkin GmbH"
"1642","0x066A","Brady Worldwide Inc."
"1641","0x0669","Livanova USA, Inc."
"1640","0x0668","Bleb Technology srl"
"1639","0x0667","Spark Technology Labs Inc."
"1638","0x0666","WTO Werkzeug-Einrichtungen GmbH"
"1637","0x0665","Pure International Limited"
"1636","0x0664","RHA TECHNOLOGIES LTD"
"1635","0x0663","Advanced Telemetry Systems, Inc."
"1634","0x0662","Particle Industries, Inc."
"1633","0x0661","Mode Lighting Limited"
"1632","0x0660","RTC Industries, Inc."
"1631","0x065F","Ricoh Company Ltd"
"1630","0x065E","Alo AB"
"1629","0x065D","Panduit Corp."
"1628","0x065C","PixArt Imaging Inc."
"1627","0x065B","Sesam Solutions BV"
"1626","0x065A","Zound Industries International AB"
"1625","0x0659","UnSeen Technologies Oy"
"1624","0x0658","Payex Norge AS"
"1623","0x0657","Meshtronix Limited"
"1622","0x0656","ZhuHai AdvanPro Technology Company Limited"
"1621","0x0655","Renishaw PLC"
"1620","0x0654","Ledlenser GmbH & Co. KG"
"1619","0x0653","Meggitt SA"
"1618","0x0652","ITZ Innovations- und Technologiezentrum GmbH"
"1617","0x0651","Stasis Labs, Inc."
"1616","0x0650","Coravin, Inc."
"1615","0x064F","Digital Matter Pty Ltd"
"1614","0x064E","KRUXWorks Technologies Private Limited"
"1613","0x064D","iLOQ Oy"
"1612","0x064C","Zumtobel Group AG"
"1611","0x064B","Scale-Tec, Ltd"
"1610","0x064A","Open Research Institute, Inc."
"1609","0x0649","Ryeex Technology Co.,Ltd."
"1608","0x0648","Ultune Technologies"
"1607","0x0647","MED-EL"
"1606","0x0646","SGV Group Holding GmbH & Co. KG"
"1605","0x0645","BM3"
"1604","0x0644","Apogee Instruments"
"1603","0x0643","makita corporation"
"1602","0x0642","Bluetrum Technology Co.,Ltd"
"1601","0x0641","Revenue Collection Systems FRANCE SAS"
"1600","0x0640","Parkifi"
"1599","0x063F","LDL TECHNOLOGY"
"1598","0x063E","The Indoor Lab, LLC"
"1597","0x063D","Xradio Technology Co.,Ltd."
"1596","0x063C","Contec Medical Systems Co., Ltd."
"1595","0x063B","Kromek Group Plc"
"1594","0x063A","Prolojik Limited"
"1593","0x0639","Shenzhen Minew Technologies Co., Ltd."
"1592","0x0638","LX SOLUTIONS PTY LIMITED"
"1591","0x0637","GiP Innovation Tools GmbH"
"1590","0x0636","ELECTRONICA INTEGRAL DE SONIDO S.A."
"1589","0x0635","Crookwood"
"1588","0x0634","Fanstel Corp"
"1587","0x0633","Wangi Lai PLT"
"1586","0x0632","Hugo Muller GmbH & Co KG"
"1585","0x0631","Fortiori Design LLC"
"1584","0x0630","Asthrea D.O.O."
"1583","0x062F","ONKYO Corporation"
"1582","0x062E","Procept"
"1581","0x062D","Vossloh-Schwabe Deutschland GmbH"
"1580","0x062C","ASPion GmbH"
"1579","0x062B","MinebeaMitsumi Inc."
"1578","0x062A","Lunatico Astronomia SL"
"1577","0x0629","PHONEPE PVT LTD"
"1576","0x0628","Ensto Oy"
"1575","0x0627","WEG S.A."
"1574","0x0626","Amplifico"
"1573","0x0625","Square Panda, Inc."
"1572","0x0624","Biovotion AG"
"1571","0x0623","Philadelphia Scientific (U.K.) Limited"
"1570","0x0622","Beam Labs, LLC"
"1569","0x0621","Noordung d.o.o."
"1568","0x0620","Forciot Oy"
"1567","0x061F","Phrame Inc."
"1566","0x061E","Diamond Kinetics, Inc."
"1565","0x061D","SENS Innovation ApS"
"1564","0x061C","Univations Limited"
"1563","0x061B","silex technology, inc."
"1562","0x061A","R.W. Beckett Corporation"
"1561","0x0619","Six Guys Labs, s.r.o."
"1560","0x0618","Audio-Technica Corporation"
"1559","0x0617","WIZCONNECTED COMPANY LIMITED"
"1558","0x0616","OS42 UG (haftungsbeschraenkt)"
"1557","0x0615","INTER ACTION Corporation"
"1556","0x0614","OnAsset Intelligence, Inc."
"1555","0x0613","Hans Dinslage GmbH"
"1554","0x0612","Playfinity AS"
"1553","0x0611","Beurer GmbH"
"1552","0x0610","ADH GUARDIAN USA LLC"
"1551","0x060F","Signify Netherlands"
"1550","0x060E","Blueair AB"
"1549","0x060D","TDK Corporation"
"1548","0x060C","Vuzix Corporation"
"1547","0x060B","Triax Technologies Inc"
"1546","0x060A","IQAir AG"
"1545","0x0609","BUCHI Labortechnik AG"
"1544","0x0608","KeySafe-Cloud"
"1543","0x0607","Rookery Technology Ltd"
"1542","0x0606","John Deere"
"1541","0x0605","FMW electronic Futterer u. Maier-Wolf OHG"
"1540","0x0604","Cell2Jack LLC"
"1539","0x0603","Fourth Evolution Inc"
"1538","0x0602","Geberit International AG"
"1537","0x0601","Schrader Electronics"
"1536","0x0600","iRobot Corporation"
"1535","0x05FF","Wellnomics Ltd"
"1534","0x05FE","Niko nv"
"1533","0x05FD","Innoseis"
"1532","0x05FC","Masbando GmbH"
"1531","0x05FB","Arblet Inc."
"1530","0x05FA","Konami Sports Life Co., Ltd."
"1529","0x05F9","Hagleitner Hygiene International GmbH"
"1528","0x05F8","Anki Inc."
"1527","0x05F7","TRACMO, INC."
"1526","0x05F6","DPTechnics"
"1525","0x05F5","GS TAG"
"1524","0x05F4","Clearity, LLC"
"1523","0x05F3","SeeScan"
"1522","0x05F2","Try and E CO.,LTD."
"1521","0x05F1","The Linux Foundation"
"1520","0x05F0","beken"
"1519","0x05EF","SIKOM AS"
"1518","0x05EE","Glide Inc."
"1517","0x05ED","Fuji Xerox Co., Ltd"
"1516","0x05EC","Gycom Svenska AB"
"1515","0x05EB","Bayerische Motoren Werke AG"
"1514","0x05EA","ACS-Control-System GmbH"
"1513","0x05E9","iconmobile GmbH"
"1512","0x05E8","COWBOY"
"1511","0x05E7","PressurePro"
"1510","0x05E6","Motion Instruments Inc."
"1509","0x05E5","INEO ENERGY& SYSTEMS"
"1508","0x05E4","Taiyo Yuden Co., Ltd"
"1507","0x05E3","Elemental Machines, Inc."
"1506","0x05E2","stAPPtronics GmbH"
"1505","0x05E1","Human, Incorporated"
"1504","0x05E0","Viper Design LLC"
"1503","0x05DF","VIRTUALCLINIC.DIRECT LIMITED"
"1502","0x05DE","QT Medical INC."
"1501","0x05DD","essentim GmbH"
"1500","0x05DC","Petronics Inc."
"1499","0x05DB","Avid Identification Systems, Inc."
"1498","0x05DA","Applied Neural Research Corp"
"1497","0x05D9","Toyo Electronics Corporation"
"1496","0x05D8","Farm Jenny LLC"
"1495","0x05D7","modum.io AG"
"1494","0x05D6","Zhuhai Jieli technology Co.,Ltd"
"1493","0x05D5","TEGAM, Inc."
"1492","0x05D4","LAMPLIGHT Co., Ltd."
"1491","0x05D3","Acurable Limited"
"1490","0x05D2","frogblue TECHNOLOGY GmbH"
"1489","0x05D1","Lindab AB"
"1488","0x05D0","Anova Applied Electronics"
"1487","0x05CF","Biowatch SA"
"1486","0x05CE","V-ZUG Ltd"
"1485","0x05CD","RJ Brands LLC"
"1484","0x05CC","WATTS ELECTRONICS"
"1483","0x05CB","LucentWear LLC"
"1482","0x05CA","MHL Custom Inc"
"1481","0x05C9","TBS Electronics B.V."
"1480","0x05C8","SOMFY SAS"
"1479","0x05C7","Lippert Components, INC"
"1478","0x05C6","Smart Animal Training Systems, LLC"
"1477","0x05C5","SELVE GmbH & Co. KG"
"1476","0x05C4","Codecoup sp. z o.o. sp. k."
"1475","0x05C3","Runtime, Inc."
"1474","0x05C2","Grote Industries"
"1473","0x05C1","P.I.Engineering"
"1472","0x05C0","Nalu Medical, Inc."
"1471","0x05BF","Real-World-Systems Corporation"
